[2026-08-25 20:03:57] WATCHER_START: Started monitoring /Users/pokoman/Downloads/MF/TestFolder
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/duplicate.txt' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/duplicate.txt'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/image.webp' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/image.webp'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/original.txt' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/original.txt'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/old_data.csv' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/old_data.csv'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/notes.txt' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/notes.txt'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/large_image.jpg' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/large_image.jpg'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/report.docx' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/report.docx'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/video.mp4' -> '/Users/pokoman/Downloads/MF/TestFolder/Videos/video.mp4'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/photo2.png' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/photo2.png'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/photo1.jpg' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/photo1.jpg'
[2026-08-25 20:06:23] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/song.mp3' -> '/Users/pokoman/Downloads/MF/TestFolder/Audio/song.mp3'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/duplicate.txt' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/duplicate.txt'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/image.webp' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/image.webp'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/original.txt' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/original.txt'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/old_data.csv' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/old_data.csv'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/notes.txt' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/notes.txt'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/large_image.jpg' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/large_image.jpg'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/report.docx' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/report.docx'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/video.mp4' -> '/Users/pokoman/Downloads/MF/TestFolder/Videos/video.mp4'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/photo2.png' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/photo2.png'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/photo1.jpg' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/photo1.jpg'
[2026-08-25 20:07:24] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/song.mp3' -> '/Users/pokoman/Downloads/MF/TestFolder/Audio/song.mp3'
[2026-08-25 20:08:07] CONVERT_IMAGE: Converted image.webp to .jpg
[2026-08-25 20:12:51] WATCHER_START: Started monitoring /Users/pokoman/Downloads/MF/TestFolder
[2026-08-25 20:15:31] WATCHER_START: Started monitoring /Users/pokoman/Downloads/MF/TestFolder
[2026-08-25 20:15:33] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/.DS_Store' -> '/Users/pokoman/Downloads/MF/TestFolder/Others/.DS_Store'
[2026-08-25 20:15:35] WATCHER: Detected new file .DS_Store. Triggering auto-sort.
[2026-08-25 20:33:48] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/song_rock.mp3' -> '/Users/pokoman/Downloads/MF/TestFolder/Audio/song_rock.mp3'
[2026-08-25 20:33:48] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/report_QQ1.docx' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/report_QQ1.docx'
[2026-08-25 20:33:48] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/vacation_usa_2024.jpg' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/vacation_usa_2024.jpg'
[2026-08-25 20:33:48] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/duplicate_of_budget_2026.xlsx' -> '/Users/pokoman/Downloads/MF/TestFolder/Documents/duplicate_of_budget_2026.xlsx'
[2026-08-25 20:33:48] MOVE/RENAME: From '/Users/pokoman/Downloads/MF/TestFolder/raw_camera_photo.jpg' -> '/Users/pokoman/Downloads/MF/TestFolder/Images/raw_camera_photo.jpg'
